,alpha,Прогон экперимента,MSE тренировочное,MSE тестовое,Кроссвалидация,Глубина дерева,Число листов
166,0.00018887017086235213,1,0.0016719968801549928,0.5402189908949067,0.4707593749701571,14,70
167,0.00019280309209273645,1,0.0020536701431100725,0.5558715329986149,0.4654598838835982,14,68
168,0.00019417520999701654,1,0.0022478453531071044,0.5558403832738392,0.46192901552719934,14,67
169,0.00019504760253583137,1,0.0024428929556426413,0.5767179953504995,0.46020148474443157,14,66
170,0.00019836539875651266,1,0.0026412583543991086,0.5259958847156199,0.46788437571969893,14,65
171,0.0001996897401391448,1,0.0030406378346772775,0.5300460580019541,0.4913466917389697,14,63
172,0.00022725385273874627,1,0.0032678916874156676,0.5559433286951786,0.4883763127414749,14,62
173,0.00022771146611602538,1,0.0034956031535317666,0.5561842467887795,0.46302139462990116,14,61
174,0.00023889218718306933,1,0.00373449534071511,0.5512359751071274,0.4738299099953123,14,60
175,0.0002501106411035073,1,0.00398460598181912,0.5597601321492425,0.4668727860838013,14,59
176,0.00026626739841663317,1,0.004250873380235616,0.5478549754263641,0.46474524262865335,14,58
177,0.00029618501815415095,1,0.004547058398389805,0.5651410669057231,0.4724816854846936,14,57
178,0.00032847205815271366,1,0.004875530456542588,0.5555240214223881,0.4915864648108131,14,56
179,0.0003462957790217711,1,0.005221826235564467,0.5393529270321755,0.47971845847749855,14,55
180,0.0003618419755721407,1,0.005583668211136586,0.5478519916907795,0.4610525582739475,14,54
181,0.0005185698777332639,1,0.006102238088869473,0.553511728745332,0.4729160826529683,14,53
182,0.0005463890027338525,1,0.0066486270916036455,0.5223128962326199,0.44589201864976014,14,52
183,0.0005985121723321189,1,0.007247139263934934,0.5610624811463001,0.4750499916225308,14,51
184,0.0006118692501805805,1,0.007859008514115433,0.5477301688292978,0.4822413204162103,13,50
185,0.0006170656877961408,1,0.008476074201911129,0.5757046497508925,0.4653313593431771,13,49
186,0.0006399296920499329,1,0.009116003893962835,0.553162823355553,0.4384448774807685,13,48
187,0.0006511589042599836,1,0.009767162798222902,0.5284562667507421,0.43058149989550665,13,47
188,0.000652437619076602,1,0.010419600417299101,0.5083374042097971,0.4455544988530091,13,46
189,0.0006942363527018337,1,0.010419600417299101,0.5623170719636801,0.4666848342394751,13,46
190,0.0006994097509547067,1,0.011813246520954094,0.5395007122106129,0.4570461174555703,12,44
191,0.0008330316710828635,1,0.011813246520954094,0.5567625779407701,0.4581747754270713,12,44
192,0.0009712778758259935,1,0.013617556067863112,0.5635340877189672,0.4750263486896897,12,42
193,0.0011170098491728453,1,0.014734565917036094,0.5518188227729821,0.4600834336915713,12,41
194,0.0011493394861515737,1,0.015883905403187244,0.5400884054647127,0.4619020490118851,12,40
195,0.0011953477486231939,1,0.01946994864905652,0.5617029019590892,0.4645151751049472,9,37
196,0.001290552858656027,1,0.01946994864905652,0.5297294608651728,0.42689119783420365,9,37
197,0.0014707739055285992,1,0.022231275413241096,0.5652242671529589,0.4743610961191771,9,35
198,0.0016170189508727295,1,0.022231275413241092,0.5663101204385289,0.45077681017638066,9,35
199,0.0016354474498653944,1,0.025483741813974323,0.5618500774032467,0.4407503700925164,9,33
200,0.0016709547982694578,1,0.025483741813974326,0.579219586204398,0.4532811984246293,9,33
201,0.00172326113361529,1,0.027154696612244865,0.5341432647164396,0.44864327833478773,9,32
202,0.0018716995799812274,1,0.030749657325840698,0.5714255451042461,0.45822811065257435,9,30
203,0.0018848047431874921,1,0.030749657325840698,0.5718281356540398,0.46618268024154524,9,30
204,0.0020064681929793885,1,0.03464093026200912,0.5578113937241423,0.4416721433935411,9,28
205,0.002170862670734516,1,0.03464093026200912,0.5563437754443915,0.4459161597261995,9,28
206,0.0029956374625681524,1,0.0368117929327397,0.5681476162432341,0.43863224547522534,9,27
207,0.0031862608333518517,1,0.04299369122865653,0.5498720455950179,0.45029497386006406,9,25
208,0.003295776643544715,1,0.042993691228656525,0.5217393471460561,0.44264527677187826,9,25
209,0.0035815494116360406,1,0.046289467872201374,0.5403834235661072,0.4390545464405993,9,24
210,0.0038985449169361914,1,0.05766810711770839,0.494696840254957,0.4104965028200028,7,21
211,0.0039808017513677275,1,0.06164890886907687,0.49771027222809394,0.4013861281268148,7,20
212,0.004314908941906532,1,0.06596381781098437,0.49948561324972046,0.40249144574849666,7,19
213,0.004551882653228842,1,0.07051570046421411,0.47877092421638817,0.40306382962115556,7,18
214,0.00516229112518304,1,0.07051570046421413,0.47561786403982,0.4089038901604108,7,18
215,0.005279770336437467,1,0.08612005305101482,0.4742042500654463,0.40020055231434865,5,15
216,0.005608477048242598,1,0.08612005305101482,0.4773573102420147,0.40594335729279196,5,15
217,0.006797873374990015,1,0.09852640347424654,0.46472607201746424,0.4183856829672245,5,13
218,0.0075595795803434195,1,0.10608598305458525,0.45157774198162587,0.4086246012028507,5,12
219,0.012064671711700009,1,0.10608598305458523,0.44842468180505785,0.41142931569670815,5,12
220,0.013745201395853321,1,0.11815065476628858,0.45733361423927604,0.41533006651069065,5,11
221,0.020636623350143518,1,0.1456410575580155,0.43831458599212886,0.4524322491353609,4,9
222,0.022048712851308973,1,0.18832639375947038,0.4154207753065777,0.44929959598672403,4,7
223,0.030420835757235337,1,0.21874722951670642,0.4328382609191997,0.45202989116610515,3,6
224,0.03730809600821028,1,0.21874722951670642,0.43283826091919964,0.4525416480695766,3,6
225,0.056797668412982054,1,0.3696506623508715,0.335075290186287,0.43537359773452994,2,3
226,0.083456771695999,1,0.4531074340468407,0.42316268611032726,0.4637859409796595,1,2
227,0.36290021186647115,1,0.4531074340468407,0.42316268611032726,0.7597025949486138,1,2
228,0.0,2,0.0,0.38533014656677245,0.5397143263441956,14,124
229,2.153159805333637e-16,2,0.0,0.37646655729300693,0.5564686649953571,14,123
230,9.9146571464599e-08,2,9.914657139413323e-08,0.3568841519280424,0.5400943840066179,14,122
231,2.0938979207757613e-07,2,3.085363634768975e-07,0.41571310598710765,0.5551503115095758,14,121
232,2.965637310406023e-07,2,6.051000943596445e-07,0.4238007672648952,0.5259107139386887,14,120
233,5.845416784146871e-07,2,6.051000943596445e-07,0.352933952674779,0.5181266463734469,14,120
234,6.824904347527391e-07,2,1.8721322078127333e-06,0.34898585012411854,0.5350368007768439,14,118
235,9.801660141844746e-07,2,2.8522982220712527e-06,0.433927505458359,0.5270397934772477,13,117
236,1.3798879949519867e-06,2,4.23218621699199e-06,0.4323120789624229,0.559029353491657,13,116
237,2.427997731919101e-06,2,6.660183948542571e-06,0.4274981477372987,0.5240534809813,13,115
238,3.0060542009810875e-06,2,9.666238149575794e-06,0.3645689228847959,0.5549777398261431,13,114
239,3.182868537836491e-06,2,1.2849106687371882e-05,0.3702860251162277,0.5461128957831566,13,113
240,4.353466689473972e-06,2,1.720257337683738e-05,0.42865970021776,0.5281921032865966,13,112
241,5.5335648084696815e-06,2,2.2736138185348232e-05,0.3844004064562464,0.5252745957660667,13,111
242,6.219195586561326e-06,2,2.8955333771695984e-05,0.4173727056189265,0.5450820600011846,13,110
243,6.6704318410375425e-06,2,3.56257656126931e-05,0.4066620276546568,0.4953359506506394,13,109
244,7.034415934758055e-06,2,4.2660181547502897e-05,0.356850751847903,0.5298352483365779,13,108
245,7.514804218953769e-06,2,5.017498576647632e-05,0.447607036815468,0.5211240071184545,13,107
246,7.828891881391259e-06,2,5.8003877647896964e-05,0.4344515971165997,0.5308579743880377,13,106
247,7.90057675873849e-06,2,6.590445440677872e-05,0.36186019679648607,0.522527925979173,13,105
248,9.016970150045895e-06,2,7.492142455708228e-05,0.3775078383710086,0.503044568488115,13,104
249,9.016970150584184e-06,2,8.393839470738584e-05,0.37461052432711606,0.5126574152458819,13,103
250,9.979591897208042e-06,2,8.393839470738584e-05,0.3398884311638103,0.5164903949695709,13,103
251,1.4761594658387686e-05,2,0.00010867958126275071,0.3711971057813985,0.5256032714756486,13,101
252,1.8030364833192806e-05,2,0.000126709946096141,0.36820176269625754,0.5079970611100376,13,100
253,1.8030364833273552e-05,2,0.00012670994609614096,0.3822103779112503,0.543869677992452,13,100
254,2.2272779387609955e-05,2,0.00016701309031789553,0.3672514133920354,0.5075587421928558,13,98
255,2.4040486444624904e-05,2,0.00019105357676241588,0.4230174396467282,0.5441480635243483,13,97
256,3.089843665936666e-05,2,0.00022195201342172703,0.41822746646426523,0.528502640459719,12,96
257,3.160902290962516e-05,2,0.00025356103633126647,0.3480569725275433,0.5287944120274948,12,95
258,3.4409205963351994e-05,2,0.0002879702422946479,0.44172546984983807,0.5183748726858926,12,94
259,3.445902479319459e-05,2,0.0003224292670876018,0.4173666804293797,0.5344096837609297,12,93
260,3.611087401036237e-05,2,0.000358540141098146,0.363837953976079,0.5539544124798782,12,92
261,3.924135174611838e-05,2,0.0003977814928443245,0.3540879507175844,0.5248367982944409,12,91
262,3.9241351746172214e-05,2,0.00043702284459050356,0.38208523030862845,0.5259091554007492,12,90
263,3.941032537320885e-05,2,0.00047643316996342046,0.43841463266217634,0.5433718788257984,12,89
264,4.228362697139385e-05,2,0.00047643316996342046,0.4090417252554846,0.5227687599850315,12,89
265,4.611030177452612e-05,2,0.000518716796934496,0.3602880469037975,0.5183788756687706,11,88
266,5.1866861868317194e-05,2,0.0006166939605776776,0.3731379292787316,0.5290396838425512,11,86
267,5.467672601508909e-05,2,0.0006713706865928401,0.3571388826493428,0.5337711969228178,11,85
268,6.890938476248702e-05,2,0.0007402800713555424,0.35232299946910356,0.5273890829787725,11,84
