ccp,n_estimators,cross validation,OOB
0.04850628050936669,49.0,0.746,0.745
0.055435749153561927,49.0,0.746,0.745
0.062365217797757166,49.0,0.746,0.745
0.0,50.0,0.732,0.731
0.006929468644195241,50.0,0.7579999999999999,0.756
0.013858937288390482,50.0,0.754,0.748
0.020788405932585723,50.0,0.748,0.747
0.027717874576780963,50.0,0.746,0.745
0.03464734322097621,50.0,0.746,0.745
0.04157681186517145,50.0,0.746,0.745
0.04850628050936669,50.0,0.746,0.745
0.055435749153561927,50.0,0.746,0.745
0.062365217797757166,50.0,0.746,0.745
0.0,51.0,0.7340000000000001,0.727
0.006929468644195241,51.0,0.7579999999999999,0.754
0.013858937288390482,51.0,0.7550000000000001,0.749
0.020788405932585723,51.0,0.7489999999999999,0.748
0.027717874576780963,51.0,0.747,0.744
0.03464734322097621,51.0,0.7449999999999999,0.745
0.04157681186517145,51.0,0.746,0.745
0.04850628050936669,51.0,0.746,0.745
0.055435749153561927,51.0,0.746,0.745
0.062365217797757166,51.0,0.746,0.745
0.0,52.0,0.732,0.724
0.006929468644195241,52.0,0.7579999999999999,0.756
0.013858937288390482,52.0,0.7529999999999999,0.748
0.020788405932585723,52.0,0.7489999999999999,0.747
0.027717874576780963,52.0,0.746,0.745
0.03464734322097621,52.0,0.7449999999999999,0.745
0.04157681186517145,52.0,0.746,0.745
0.04850628050936669,52.0,0.7449999999999999,0.745
0.055435749153561927,52.0,0.7449999999999999,0.745
0.062365217797757166,52.0,0.7449999999999999,0.745
0.0,53.0,0.7340000000000001,0.724
0.006929468644195241,53.0,0.7569999999999999,0.756
0.013858937288390482,53.0,0.7529999999999999,0.747
0.020788405932585723,53.0,0.752,0.746
0.027717874576780963,53.0,0.747,0.745
0.03464734322097621,53.0,0.7449999999999999,0.745
0.04157681186517145,53.0,0.746,0.745
0.04850628050936669,53.0,0.746,0.745
0.055435749153561927,53.0,0.746,0.745
0.062365217797757166,53.0,0.746,0.745
0.0,54.0,0.7340000000000001,0.725
0.006929468644195241,54.0,0.7609999999999999,0.753
0.013858937288390482,54.0,0.751,0.748
0.020788405932585723,54.0,0.751,0.747
0.027717874576780963,54.0,0.746,0.745
0.03464734322097621,54.0,0.7449999999999999,0.745
0.04157681186517145,54.0,0.746,0.745
0.04850628050936669,54.0,0.7449999999999999,0.745
0.055435749153561927,54.0,0.7449999999999999,0.745
0.062365217797757166,54.0,0.7449999999999999,0.745
0.0,55.0,0.7330000000000001,0.726
0.006929468644195241,55.0,0.7609999999999999,0.754
0.013858937288390482,55.0,0.7529999999999999,0.75
0.020788405932585723,55.0,0.75,0.746
0.027717874576780963,55.0,0.747,0.745
0.03464734322097621,55.0,0.7449999999999999,0.745
0.04157681186517145,55.0,0.746,0.745
0.04850628050936669,55.0,0.747,0.745
0.055435749153561927,55.0,0.747,0.745
0.062365217797757166,55.0,0.747,0.745
0.0,56.0,0.7350000000000001,0.724
0.006929468644195241,56.0,0.7599999999999999,0.753
0.013858937288390482,56.0,0.752,0.75
0.020788405932585723,56.0,0.752,0.746
0.027717874576780963,56.0,0.747,0.745
0.03464734322097621,56.0,0.746,0.745
0.04157681186517145,56.0,0.746,0.745
0.04850628050936669,56.0,0.746,0.745
0.055435749153561927,56.0,0.746,0.745
0.062365217797757166,56.0,0.746,0.745
0.0,57.0,0.7360000000000001,0.726
0.006929468644195241,57.0,0.762,0.754
0.013858937288390482,57.0,0.751,0.752
0.020788405932585723,57.0,0.752,0.746
0.027717874576780963,57.0,0.747,0.745
0.03464734322097621,57.0,0.746,0.745
